id,lad,population,area_km2,pop_density_km2,lte_4G
CA27,E07000028,6158.0,5.730742003506425,20186.647646188918,1
CA11,E07000028,1136.0,1.2070108695690638,17680.82498833387,1
CA24,E07000028,5007.0,6.521963845122878,14422.301806624158,1
CA26,E07000028,4996.0,7.234650212459594,12972.995471382608,1
CA39,E07000028,3744.0,7.291469209607206,9646.1979298504,1
CA30,E07000028,2735.0,5.683906107028362,9039.529170790744,1
CA38,E07000028,316.0,0.9646515151487753,6153.9222775789685,1
CA81,E07000028,2434.0,29.686027845825794,1540.294832730618,1
CA48,E07000028,2729.0,39.22961027171398,1306.8475171962805,1
CA56,E07000028,1730.0,79.14886416599812,410.61687299132217,1
CA57,E07000028,1493.0,83.3294489670983,336.5864843154137,1
CA64,E07000028,1873.0000000000002,104.74321151938189,335.9288218583481,1
CA65,E07000028,1616.0,133.2422554693858,227.84250975814086,0
CA89,E07000028,1049.0,91.05284017752965,216.4299535011658,1
CA82,E07000028,788.0,132.06663968331753,112.09041183286317,0
CA66,E07000028,757.0,188.4917227574064,75.44647799896207,0
CA287,E07000029,1924.0,1.4138014152893366,42225.01623009517,1
CA286,E07000029,4166.0,10.598534979982343,12196.257853140954,1
CA288,E07000029,3845.0,11.507540039067521,10367.332300374881,1
CA289,E07000029,3626.0,13.958606460646887,8060.07171681383,1
CA255,E07000029,2955.0,12.373039127399784,7410.274031547676,1
LA184,E07000029,2593.0,17.189892110070872,4680.3953091544945,1
CA270,E07000029,771.0,5.628732772066024,4250.07815970142,1
CA243,E07000029,471.0,4.131382888671024,3537.3548660595675,1
CA263,E07000029,1818.0,20.321145160881443,2775.868382620876,1
CA222,E07000029,4317.0,56.81648367057747,2357.5497498665377,1
CA212,E07000029,393.0,6.05342788835378,2014.3936637208044,1
LA185,E07000029,1601.0,57.9891847340194,856.6383211917718,1
CA233,E07000029,730.0,50.09783552414074,452.12348558869934,0
CA201,E07000029,1738.0,147.49707807520173,365.6112280960803,0
CA181,E07000029,192.0,22.129034988628323,269.2104554608161,1
LA195,E07000029,511.00000000000006,74.93577028035153,211.58500877509545,0
CA191,E07000029,578.0,131.8519039530464,136.0174418365203,0
CA117,E07000030,2209.0,1.1563256744050765,70169.38317332002,1
CA118,E07000030,4011.0,33.15358902636012,4443.797127795758,1
CA119,E07000030,2790.0,90.39449230026345,1133.6900759680082,1
CA40,E07000030,1205.0,84.83521295558212,521.72662946587,1
CA101,E07000030,2802.0,244.52455266896646,420.89887935371917,1
CA166,E07000030,3241.0,308.35663607656073,386.06269974703747,1
CA103,E07000030,2346.0,265.56487879305934,324.481156129158,1
