,place_name,cordinates,Longitude,Latitude
1143,BTWifi-with-FON,"0.12510891,52.21557999",0.12510891,52.21557999
1144,BTWifi-with-FON,"0.12282452,52.21660233",0.12282452,52.21660233
1145,BTWifi-with-FON,"0.12737361,52.21469498",0.12737361,52.21469498
1146,BTWifi-X,"0.12737361,52.21469498",0.12737361,52.21469498
1147,BTWifi-with-FON,"0.12757091,52.21474457",0.12757091,52.21474457
1148,BTWifi-with-FON,"0.12900633,52.21442795",0.12900633,52.21442795
1149,BTWifi-X,"0.12909812,52.21443939",0.12909812,52.21443939
1150,BTWifi-with-FON,"0.12279421,52.21688843",0.12279421,52.21688843
1151,BTWifi-X,"0.12279421,52.21688843",0.12279421,52.21688843
1152,(no SSID),"0.12279421,52.21688843",0.12279421,52.21688843
1153,family,"0.13139819,52.21471405",0.13139819,52.21471405
1154,BTWifi-X,"0.12279421,52.21688843",0.12279421,52.21688843
1155,BTWifi-with-FON,"0.12279421,52.21688843",0.12279421,52.21688843
1156,BTWifi-X,"0.12279421,52.21688843",0.12279421,52.21688843
1157,(no SSID),"0.12316419,52.21690369",0.12316419,52.21690369
1158,BTWifi-with-FON,"0.13022596,52.21384811",0.13022596,52.21384811
1159,BTWifi-X,"0.13024266,52.21391296",0.13024266,52.21391296
1160,(no SSID),"0.13024266,52.21391296",0.13024266,52.21391296
1161,(no SSID),"0.13168831,52.21353531",0.13168831,52.21353531
1162,BTWifi-with-FON,"0.13174856,52.2137146",0.13174856,52.2137146
1163,BTWifi-X,"0.13174856,52.2137146",0.13174856,52.2137146
1164,(no SSID),"0.13168831,52.21353531",0.13168831,52.21353531
1165,(no SSID),"0.12774958,52.21503067",0.12774958,52.21503067
1166,(no SSID),"0.1315888,52.21310806",0.1315888,52.21310806
1167,BTWifi-with-FON,"0.13012777,52.2134552",0.13012777,52.2134552
1168,BTWifi-X,"0.1302266,52.21379089",0.1302266,52.21379089
1169,BTWifi-with-FON,"0.12599471,52.21490097",0.12599471,52.21490097
1170,BTWifi-X,"0.12599471,52.21490097",0.12599471,52.21490097
1171,(no SSID),"0.12599471,52.21490097",0.12599471,52.21490097
1172,(no SSID),"0.12260119,52.21663666",0.12260119,52.21663666
1173,RPA,"0.12771378,52.21508026",0.12771378,52.21508026
1174,TP-Link_37EE,"0.12565368,52.21508408",0.12565368,52.21508408
1175,PI_guest,"0.12480529,52.21580887",0.12480529,52.21580887
1176,Mungilify,"0.13001546,52.21306992",0.13001546,52.21306992
1177,(no SSID),"0.12763654,52.21563339",0.12763654,52.21563339
1178,TALKTALK668009,"0.12566514,52.21572495",0.12566514,52.21572495
1179,TALKTALK668009,"0.12495818,52.21567154",0.12495818,52.21567154
1180,TALKTALK6993C4,"0.1276551,52.2147522",0.1276551,52.2147522
1181,TALKTALK8B79BD,"0.12758866,52.21593475",0.12758866,52.21593475
1182,TALKTALK8B79BD,"0.12763654,52.21563339",0.12763654,52.21563339
1183,BTHub6-56WR,"0.13001502,52.21295166",0.13001502,52.21295166
1184,BTHub6-56WR,"0.13005266,52.21281815",0.13005266,52.21281815
1185,BTHub6-R2C9,"0.12646112,52.21480179",0.12646112,52.21480179
1186,BTHub6-R2C9,"0.12659508,52.21472931",0.12659508,52.21472931
1187,Closed,"0.12594061,52.21604919",0.12594061,52.21604919
1188,Closed,"0.12417593,52.21678162",0.12417593,52.21678162
1189,Closed,"0.12482887,52.21615219",0.12482887,52.21615219
1190,Closed,"0.12586461,52.21604156",0.12586461,52.21604156
1191,Closed,"0.12586461,52.21604156",0.12586461,52.21604156
1192,Closed,"0.12480625,52.2158699",0.12480625,52.2158699
1193,Closed,"0.12619847,52.2160759",0.12619847,52.2160759
1194,Closed,"0.12642115,52.21606064",0.12642115,52.21606064
1195,Closed,"0.12619847,52.2160759",0.12619847,52.2160759
1196,Closed,"0.12488871,52.21601868",0.12488871,52.21601868
1197,VM381866-2G,"0.12739936,52.21595383",0.12739936,52.21595383
1198,Virgin Media,"0.12539592,52.21481705",0.12539592,52.21481705
1199,VM013708-2G,"0.13054095,52.2146225",0.13054095,52.2146225
1200,Virgin Media,"0.13054095,52.2146225",0.13054095,52.2146225
1201,VM013708-5G,"0.13062777,52.21463394",0.13062777,52.21463394
1202,VM160304-5G,"0.12803724,52.21467972",0.12803724,52.21467972
1203,Coredy E300_EXT,"0.12542261,52.21489716",0.12542261,52.21489716
1204,Coredy WN300_EXT,"0.12415216,52.21660995",0.12415216,52.21660995
1205,SKYIGE73,"0.13008769,52.21321869",0.13008769,52.21321869
1206,SKYIGE73,"0.13002488,52.21451569",0.13002488,52.21451569
1207,NOWTV4GRKZ,"0.12550814,52.21478271",0.12550814,52.21478271
1208,NOWTV4GRKZ,"0.12539592,52.21481705",0.12539592,52.21481705
1209,SKYIGE73,"0.13001205,52.21291351",0.13001205,52.21291351
1210,SKYIGE73,"0.13015829,52.21454239",0.13015829,52.21454239
1211,DIRECT-12-HP DeskJet 2600 series,"0.12798302,52.2142067",0.12798302,52.2142067
1212,J&T-Wi-Fi Network,"0.12842526,52.21316147",0.12842526,52.21316147
1213,J&T-Wi-Fi Network,"0.12871705,52.21321106",0.12871705,52.21321106
1214,BTWifi-with-FON,"0.13005266,52.21281815",0.13005266,52.21281815
1215,BTWifi-X,"0.13005266,52.21281815",0.13005266,52.21281815
1216,BTWifi-with-FON,"0.13001502,52.21295166",0.13001502,52.21295166
1217,BTWifi-with-FON,"0.12659508,52.21472931",0.12659508,52.21472931
1218,BTWifi-X,"0.12659508,52.21472931",0.12659508,52.21472931
1219,BTWifi-with-FON,"0.12653036,52.21475983",0.12653036,52.21475983
1220,The Portland Arms (Staff),"0.12646112,52.21480179",0.12646112,52.21480179
1221,Comms,"0.12577944,52.21600342",0.12577944,52.21600342
1222,Comms,"0.12482887,52.21615219",0.12482887,52.21615219
1223,Closed,"0.12642115,52.21606064",0.12642115,52.21606064
1224,Comms,"0.12586461,52.21604156",0.12586461,52.21604156
1225,Comms,"0.1263153,52.21607208",0.1263153,52.21607208
1226,Comms,"0.12642115,52.21606064",0.12642115,52.21606064
1227,Comms,"0.12619847,52.2160759",0.12619847,52.2160759
1228,Comms,"0.12503511,52.21561432",0.12503511,52.21561432
1229,BTWifi-X,"0.12261304,52.21660233",0.12261304,52.21660233
1230,BTWifi-with-FON,"0.12259145,52.21661377",0.12259145,52.21661377
1231,BTWifi-with-FON,"0.13001636,52.21286011",0.13001636,52.21286011
1232,BTWifi-X,"0.13000904,52.21302795",0.13000904,52.21302795
1233,5Herb,"0.12786864,52.21479797",0.12786864,52.21479797
1234,EE-BrightBox-gfff7n,"0.1280082,52.21349335",0.1280082,52.21349335
1235,BTBHub6-3ZPT,"0.12517445,52.21556473",0.12517445,52.21556473
1236,BTBHub6-3ZPT,"0.12560093,52.21504974",0.12560093,52.21504974
1237,BTBHub6-H678,"0.12571704,52.21528244",0.12571704,52.21528244
1238,BTBHub6-H678,"0.12571704,52.21528244",0.12571704,52.21528244
1239,BTHub6-WRCG,"0.12251378,52.2166214",0.12251378,52.2166214
1240,BTHub6-WRCG,"0.12333895,52.21673203",0.12333895,52.21673203
1241,BTHub5-6TSX,"0.12480625,52.2158699",0.12480625,52.2158699
1242,TALKTALK53C232,"0.12963881,52.21445465",0.12963881,52.21445465
1243,TALKTALK53C232,"0.12963881,52.21445465",0.12963881,52.21445465
1244,DIRECT-NAC48x Series,"0.12258856,52.21668625",0.12258856,52.21668625
1245,DIRECT-OoC48x Series,"0.12659508,52.21472931",0.12659508,52.21472931
1246,DIRECT-l8M288x Series,"0.13169709,52.21450424",0.13169709,52.21450424
1247,BTWi-fi,"0.1251623,52.21556473",0.1251623,52.21556473
1248,BTWi-fi,"0.12524731,52.21554947",0.12524731,52.21554947
1249,BTWi-fi,"0.12571704,52.21528244",0.12571704,52.21528244
1250,BTWifi-with-FON,"0.12316419,52.21690369",0.12316419,52.21690369
1251,BTWifi-X,"0.12316419,52.21690369",0.12316419,52.21690369
1252,BTWifi-with-FON,"0.12305486,52.21673965",0.12305486,52.21673965
1253,BTWifi-with-FON,"0.12489352,52.21600723",0.12489352,52.21600723
1254,DIRECT-44-HP ENVY Photo 7100,"0.13103822,52.2146759",0.13103822,52.2146759
1255,DIRECT-31-HP ENVY 5000 series,"0.12874778,52.21343994",0.12874778,52.21343994
1256,DIRECT-DD-HP ENVY 5000 series,"0.12799665,52.21367645",0.12799665,52.21367645
1257,virgin,"0.1287955,52.21391678",0.1287955,52.21391678
1258,virgin,"0.1287955,52.21391678",0.1287955,52.21391678
1259,BTHub6-M9Z3,"0.13008769,52.21321869",0.13008769,52.21321869
1260,BTHub6-M9Z3__5GHz,"0.13020992,52.21367264",0.13020992,52.21367264
1261,BTHub6-5XGW,"0.1225245,52.2166481",0.1225245,52.2166481
1262,PLUSNET-TF7HJR,"0.13140619,52.2127533",0.13140619,52.2127533
1263,cambridge ,"0.13139819,52.21471405",0.13139819,52.21471405
1264,BTWifi-with-FON,"0.13020992,52.21367264",0.13020992,52.21367264
1265,BTWifi-X,"0.13020992,52.21367264",0.13020992,52.21367264
1266,BTWifi-with-FON,"0.13008769,52.21321869",0.13008769,52.21321869
1267,BTWifi-with-FON,"0.12249793,52.21656418",0.12249793,52.21656418
1268,BTWifi-X,"0.12249793,52.21656418",0.12249793,52.21656418
1269,BTWifi-with-FON,"0.12241312,52.21653366",0.12241312,52.21653366
1270,BTWifi-with-FON,"0.12441526,52.21659088",0.12441526,52.21659088
1271,BTWifi-X,"0.12254712,52.21664047",0.12254712,52.21664047
1272,BTWifi-with-FON,"0.12356175,52.21696091",0.12356175,52.21696091
1273,BTWifi-X,"0.12356175,52.21696091",0.12356175,52.21696091
1274,BTWifi-with-FON,"0.13010362,52.21334839",0.13010362,52.21334839
1275,BTWifi-X,"0.13010362,52.21334839",0.13010362,52.21334839
1276,NTGR_8993,"0.13175398,52.21439362",0.13175398,52.21439362
1277,mwlan-2G_EXT,"0.12798548,52.21404648",0.12798548,52.21404648
1278,ZyXEL1DAF0B,"0.13001205,52.21291351",0.13001205,52.21291351
