msoa,urban_rural,total_prems,total_prems_density_km2,number_of_aps,number_of_aps_density_km2,source,buffer_size,total_prems_density_km2_decile
E02003737,Rural,441.88235294117646,2167.411109931775,38.80882352941177,190.35536205770615,Wardriving,300,9
E02003737,Rural,10396.0,151.44293425646111,5912.0,86.12260747635611,Predictive Model,100,3
E02003737,Rural,10396.0,151.44293425646111,7730.0,112.60618332074301,Predictive Model,300,3
E02003738,Rural,6224.0,90.02978840229233,5629.0,81.42314892617344,Predictive Model,200,2
E02003738,Rural,6224.0,90.02978840229233,3905.0,56.48559185587268,Predictive Model,100,2
E02003738,Rural,18.694444444444443,149.00490539834573,4.5,35.86745122515901,Wardriving,200,4
E02003738,Rural,6224.0,90.02978840229233,3905.0,56.48559185587268,Predictive Model,300,2
E02003738,Rural,27.84722222222222,136.58924920502102,5.041666666666667,24.729125915921514,Wardriving,300,4
E02003740,Rural,175.58823529411765,861.2516191621897,38.28361344537815,187.779232543582,Wardriving,300,7
E02003740,Rural,5851.0,69.36359441501574,3102.0,36.77420438820352,Predictive Model,200,1
E02003740,Rural,5851.0,69.36359441501574,2752.0,32.62495502138494,Predictive Model,100,1
E02003740,Rural,126.99579831932773,1012.2256893374677,31.23949579831933,248.99579818772776,Wardriving,200,7
E02003740,Rural,5851.0,69.36359441501574,3102.0,36.77420438820352,Predictive Model,300,1
E02003746,Rural,6378.0,216.96194831909887,3608.0,122.73419716765581,Predictive Model,100,4
E02003746,Rural,6378.0,216.96194831909887,3608.0,122.73419716765581,Predictive Model,300,4
E02003746,Rural,6378.0,216.96194831909887,4104.0,139.6067475543402,Predictive Model,200,4
E02003746,Rural,149.11764705882354,1188.5488739317445,71.82352941176471,572.4726528878343,Wardriving,200,7
E02003746,Rural,232.3235294117647,1139.5354337959982,73.41176470588235,360.081078966301,Wardriving,300,7
E02003748,Rural,248.5735294117647,1219.2408809630238,64.83823529411765,318.0283407777301,Wardriving,300,7
E02003748,Rural,5906.0,386.7191247290297,3845.0,251.7668531295495,Predictive Model,200,4
E02003748,Rural,5906.0,386.7191247290297,3845.0,251.7668531295495,Predictive Model,100,4
E02003748,Rural,5906.0,386.7191247290297,3845.0,251.7668531295495,Predictive Model,300,4
E02003748,Rural,153.11764705882354,1220.4310527985542,56.0,446.35050413531445,Wardriving,200,7
E02003750,Rural,198.34146341463415,1580.889503322456,42.390243902439025,337.87333457629467,Wardriving,200,8
E02003750,Rural,6238.0,187.82866405332837,4629.0,139.38103332844776,Predictive Model,100,3
E02003750,Rural,6238.0,187.82866405332837,3286.0,98.94276852825217,Predictive Model,300,3
E02003750,Rural,6238.0,187.82866405332837,4629.0,139.38103332844776,Predictive Model,200,3
E02003750,Rural,301.109756097561,1476.9284772989788,52.642276422764226,258.20776505638725,Wardriving,300,8
E02003751,Rural,6808.0,78.30794590485802,5778.0,66.4605334075014,Predictive Model,200,2
E02003751,Rural,104.84180790960453,1049.0028248782824,35.9774011299435,359.97467202807036,Wardriving,200,7
E02003751,Rural,13.416666666666666,427.75256646298755,61.4375,1958.761364129426,Wardriving,100,4
E02003751,Rural,175.66666666666666,993.5041407573261,37.3921568627451,211.47587860522614,Wardriving,300,7
E02003751,Rural,6808.0,78.30794590485802,5778.0,66.4605334075014,Predictive Model,300,2
E02003751,Rural,6808.0,78.30794590485802,3492.0,40.16617906870802,Predictive Model,100,2
E02003752,Rural,9311.0,152.11709459485687,6932.0,113.25053160042398,Predictive Model,200,3
E02003752,Rural,9311.0,152.11709459485687,6932.0,113.25053160042398,Predictive Model,100,3
E02003752,Rural,348.6094890510949,1709.91232070669,39.89051094890511,195.66098540943815,Wardriving,300,8
E02003752,Rural,222.33576642335765,1772.137168399573,32.160583941605836,256.3373724218161,Wardriving,200,8
E02003752,Rural,9311.0,152.11709459485687,6932.0,113.25053160042398,Predictive Model,300,3
E02003754,Rural,5357.0,65.42065551138366,4159.0,50.79046224973766,Predictive Model,300,1
E02003754,Rural,5357.0,65.42065551138366,4159.0,50.79046224973766,Predictive Model,100,1
E02003754,Rural,28.444444444444443,226.71771638618299,2.111111111111111,16.82670551303702,Wardriving,200,5
E02003754,Rural,43.361111111111114,212.68410773967753,2.7222222222222223,13.352365508320561,Wardriving,300,4
E02003754,Rural,5357.0,65.42065551138366,4159.0,50.79046224973766,Predictive Model,200,1
E02003755,Rural,242.66666666666666,1934.1855179196814,62.233333333333334,496.03356620275343,Wardriving,200,9
E02003755,Rural,7023.0,109.04093406312028,3809.0,59.139529808689325,Predictive Model,300,2
E02003755,Rural,7023.0,109.04093406312028,4194.0,65.11714046144475,Predictive Model,100,2
E02003755,Rural,355.40555555555557,1743.2466911506854,77.37222222222222,379.50692741712277,Wardriving,300,8
E02003755,Rural,7023.0,109.04093406312028,4194.0,65.11714046144475,Predictive Model,200,2
E02003756,Rural,6029.0,68.60978864956043,3030.0,34.48128372999969,Predictive Model,300,1
E02003756,Rural,16.9375,83.07760070100426,1.875,9.196782365424825,Wardriving,300,3
E02003756,Rural,6029.0,68.60978864956043,3030.0,34.48128372999969,Predictive Model,200,1
E02003756,Rural,7.375,58.78276728567547,1.875,14.944771343815797,Wardriving,200,3
E02003756,Rural,6029.0,68.60978864956043,3030.0,34.48128372999969,Predictive Model,100,1
E02003757,Rural,289.9463087248322,1422.1723194670478,42.57046979865772,208.8060511638231,Wardriving,300,8
E02003757,Rural,5325.0,106.51263891783336,2923.0,58.46693775715059,Predictive Model,300,2
E02003757,Rural,5325.0,106.51263891783336,2923.0,58.46693775715059,Predictive Model,100,2
E02003757,Rural,198.18120805369128,1579.6121808019695,34.033557046979865,271.2659883113816,Wardriving,200,8
E02003757,Rural,5325.0,106.51263891783336,4363.0,87.27035560535342,Predictive Model,200,2
E02003758,Rural,9158.0,69.40935009060271,4729.0,35.84153926386331,Predictive Model,200,1
E02003758,Rural,80.11235955056179,638.5391441582635,23.719101123595507,189.05415614559527,Wardriving,200,6
E02003758,Rural,9158.0,69.40935009060271,7766.0,58.85925014234775,Predictive Model,300,1
E02003758,Rural,9158.0,69.40935009060271,5489.0,41.60165130457723,Predictive Model,100,1
E02003758,Rural,103.91573033707866,509.70152333564954,28.668539325842698,140.61776902102068,Wardriving,300,6
E02003759,Rural,16.1,78.96970457778538,17.585714285714285,86.25705974734143,Wardriving,300,3
E02003759,Rural,4909.0,191.13042413503223,2916.0,113.53357440980933,Predictive Model,200,4
E02003759,Rural,4909.0,191.13042413503223,3744.0,145.77150294592803,Predictive Model,100,4
E02003759,Rural,11.571428571428571,92.23058886469377,14.285714285714286,113.86492452431331,Wardriving,200,3
E02003759,Rural,4909.0,191.13042413503223,3744.0,145.77150294592803,Predictive Model,300,4
E02003762,Rural,8463.0,160.5799943537761,4684.0,88.87589431089297,Predictive Model,200,3
E02003762,Rural,59.94444444444444,294.02453843832154,1.5,7.357425892339835,Wardriving,300,5
E02003762,Rural,35.77777777777778,285.16837764199215,1.3333333333333333,10.627392955602192,Wardriving,200,5
E02003762,Rural,8463.0,160.5799943537761,4684.0,88.87589431089297,Predictive Model,100,3
E02003762,Rural,8463.0,160.5799943537761,5551.0,105.32666296322948,Predictive Model,300,3
E02003763,Suburban,15.727272727272727,125.35493054449717,7.545454545454546,60.14138286238881,Wardriving,200,4
E02003763,Suburban,7064.0,1359.7241152985905,4407.0,848.2876806513149,Predictive Model,200,7
E02003763,Suburban,7064.0,1359.7241152985905,4407.0,848.2876806513149,Predictive Model,100,7
E02003763,Suburban,19.0,93.19406130297787,7.545454545454546,37.01008176146968,Wardriving,300,3
E02003763,Suburban,7064.0,1359.7241152985905,4118.0,792.6591034540763,Predictive Model,300,7
E02003765,Suburban,5067.0,1203.2883712887158,2972.0,705.7771935010979,Predictive Model,300,6
E02003765,Suburban,5067.0,1203.2883712887158,3198.0,759.4466570715044,Predictive Model,100,6
E02003765,Suburban,5067.0,1203.2883712887158,3198.0,759.4466570715044,Predictive Model,200,6
E02003765,Suburban,360.8,2875.7725337860716,126.19111111111111,1005.8118939614183,Wardriving,200,10
E02003765,Suburban,533.82,2618.3607265660603,164.20666666666668,805.425587352149,Wardriving,300,10
E02003766,Rural,5088.0,256.42019737768084,3294.0,166.00788721739008,Predictive Model,300,4
E02003766,Rural,473.2828947368421,2321.429216092368,72.20394736842105,354.15679459839225,Wardriving,300,10
E02003766,Rural,5088.0,256.42019737768084,4088.0,206.0231460062813,Predictive Model,100,4
E02003766,Rural,298.38157894736844,2378.2637176401017,57.0,454.32104885200516,Wardriving,200,10
E02003766,Rural,5088.0,256.42019737768084,3028.0,152.6022715525978,Predictive Model,200,4
E02003768,Rural,196.12878787878788,962.0020147818125,27.689393939393938,135.8151092752723,Wardriving,300,7
E02003768,Rural,8770.0,222.530286503125,4563.0,115.78172147249253,Predictive Model,100,4
E02003768,Rural,8770.0,222.530286503125,5726.0,145.2917241182319,Predictive Model,300,4
E02003768,Rural,8770.0,222.530286503125,5726.0,145.2917241182319,Predictive Model,200,4
E02003768,Rural,124.33333333333333,991.0043931099569,23.075757575757574,183.92635762935225,Wardriving,200,7
E02003769,Rural,5322.0,98.74628870163895,2831.0,52.527385064701214,Predictive Model,100,2
E02003769,Rural,135.18987341772151,1178.2064716176476,36.164556962025316,315.1812630535224,Wardriving,200,7
E02003769,Rural,5322.0,98.74628870163895,2831.0,52.527385064701214,Predictive Model,200,2
E02003769,Rural,5322.0,98.74628870163895,2831.0,52.527385064701214,Predictive Model,300,2
E02003769,Rural,5.222222222222222,166.49582297113122,29.666666666666668,945.8379730487667,Wardriving,100,2
E02003769,Rural,196.04026845637583,1013.3606579971852,44.31543624161074,229.07293477423534,Wardriving,300,7
E02003770,Rural,7724.0,99.71813870450117,3918.0,50.58203876802636,Predictive Model,200,2
E02003770,Rural,7724.0,99.71813870450117,3918.0,50.58203876802636,Predictive Model,300,2
E02003770,Rural,137.37906137184115,739.3323794012715,43.981949458483754,236.69749246454225,Wardriving,300,6
E02003770,Rural,14.172413793103448,451.84743152616556,24.896551724137932,793.7563152357458,Wardriving,100,4
E02003770,Rural,7724.0,99.71813870450117,3553.0,45.869827397344984,Predictive Model,100,2
E02003770,Rural,90.34640522875817,839.4425875730958,35.99346405228758,334.4288743228705,Wardriving,200,7
E02003771,Suburban,4630.0,1413.302124302255,3707.0,1131.5574459586303,Predictive Model,100,7
E02003771,Suburban,4630.0,1413.302124302255,3707.0,1131.5574459586303,Predictive Model,300,7
E02003771,Suburban,187.80833333333334,2443.9750514327156,69.45,903.7621723672296,Wardriving,200,10
E02003771,Suburban,4630.0,1413.302124302255,3707.0,1131.5574459586303,Predictive Model,200,7
E02003771,Suburban,29.822580645161292,950.8088503988466,81.37096774193549,2594.2837481136726,Wardriving,100,7
E02003771,Suburban,379.46067415730334,2639.031727180858,73.30898876404494,509.8413627854883,Wardriving,300,10
E02003773,Suburban,7793.0,2631.6222613217146,4271.0,1442.2762322731994,Predictive Model,200,9
E02003773,Suburban,477.02232142857144,3353.0575378492895,60.736607142857146,426.9262239004949,Wardriving,300,10
E02003773,Suburban,7793.0,2631.6222613217146,4271.0,1442.2762322731994,Predictive Model,100,9
E02003773,Suburban,7793.0,2631.6222613217146,4271.0,1442.2762322731994,Predictive Model,300,9
E02003773,Suburban,241.11184210526315,3175.1357969825976,56.38815789473684,742.5602039874988,Wardriving,200,10
E02003773,Suburban,32.275,1028.9973229262223,64.525,2057.197591380774,Wardriving,100,7
E02003775,Rural,6407.0,189.04439676387034,3257.0,96.10076482908157,Predictive Model,300,3
E02003775,Rural,6407.0,189.04439676387034,2963.0,87.4260258485013,Predictive Model,200,3
E02003775,Rural,20.207792207792206,644.2684456720712,54.493506493506494,1737.3717211054052,Wardriving,100,5
E02003775,Rural,6407.0,189.04439676387034,3257.0,96.10076482908157,Predictive Model,100,3
E02003775,Rural,206.8395061728395,1386.2128669580327,47.60493827160494,319.0424265841097,Wardriving,300,8
E02003775,Rural,111.4125,1389.5641087523436,44.8125,558.912524388775,Wardriving,200,8
E02003776,Rural,6465.0,185.689760141544,4226.0,121.38049904998685,Predictive Model,100,3
E02003776,Rural,6465.0,185.689760141544,3271.0,93.95068916055537,Predictive Model,300,3
E02003776,Rural,140.15303430079155,1885.8770345735766,67.64116094986808,910.168749921462,Wardriving,200,9
E02003776,Rural,275.30797101449275,1973.5782983253612,70.72282608695652,506.9850838213053,Wardriving,300,9
E02003776,Rural,6465.0,185.689760141544,3271.0,93.95068916055537,Predictive Model,200,3
E02003776,Rural,21.883495145631066,697.6935064638845,80.7621359223301,2574.8728631410045,Wardriving,100,6
E02003777,Rural,6339.0,175.03930548820338,3069.0,84.74453834095223,Predictive Model,200,3
E02003777,Rural,6339.0,175.03930548820338,4407.0,121.69083755900178,Predictive Model,100,3
E02003777,Rural,6339.0,175.03930548820338,3069.0,84.74453834095223,Predictive Model,300,3
E02003777,Rural,15.5,494.1737724354984,49.27272727272727,1570.9219041644583,Wardriving,100,5
E02003777,Rural,73.97478991596638,902.4399375064563,38.21848739495798,466.23842278534175,Wardriving,200,7
E02003777,Rural,133.17486338797815,875.9871264520565,39.40983606557377,259.2269154311366,Wardriving,300,7
E02003778,Rural,5100.0,156.47708194610755,3239.0,99.37828792616517,Predictive Model,200,3
E02003778,Rural,20.74342105263158,258.4177634114238,13.532894736842104,168.59033914915912,Wardriving,200,5
E02003778,Rural,5.0,159.41089433402837,14.534246575342467,463.3834490093263,Wardriving,100,2
E02003778,Rural,5100.0,156.47708194610755,4458.0,136.77937868936226,Predictive Model,100,3
E02003778,Rural,34.75757575757576,232.71092192872723,14.835497835497835,99.32747906959125,Wardriving,300,4
E02003778,Rural,5100.0,156.47708194610755,4458.0,136.77937868936226,Predictive Model,300,3
E02003779,Rural,4468.0,180.2324249332331,3429.0,138.32072182096155,Predictive Model,200,3
E02003779,Rural,4468.0,180.2324249332331,3429.0,138.32072182096155,Predictive Model,100,3
E02003779,Rural,4.2631578947368425,20.910578851914483,4.421052631578948,21.685044735318723,Wardriving,300,1
E02003779,Rural,3.0,23.91163415010582,4.105263157894737,32.721183573829016,Wardriving,200,2
E02003779,Rural,4468.0,180.2324249332331,3429.0,138.32072182096155,Predictive Model,300,3
E02003780,Rural,8012.0,553.1091823615309,4655.0,321.3583679347137,Predictive Model,300,5
E02003780,Rural,209.57746478873239,1548.3251355682053,43.44084507042253,320.93408707211125,Wardriving,300,8
E02003780,Rural,8012.0,553.1091823615309,4328.0,298.78389181985847,Predictive Model,200,5
E02003780,Rural,8012.0,553.1091823615309,5633.0,388.87469099382224,Predictive Model,100,5
E02003780,Rural,19.347517730496453,616.841020912379,46.60992907801418,1486.0260958343679,Wardriving,100,5
E02003780,Rural,103.81451612903226,1442.5985537870256,40.34274193548387,560.5996477370928,Wardriving,200,8
E02003781,Rural,6050.0,213.83173403083802,5478.0,193.61491554064972,Predictive Model,300,4
E02003781,Rural,64.922942206655,374.4943766702911,36.467600700525395,210.3557067628462,Wardriving,300,5
E02003781,Rural,39.910714285714285,410.70126667039955,31.616071428571427,325.3452316062382,Wardriving,200,5
E02003781,Rural,6050.0,213.83173403083802,3339.0,118.01391073206086,Predictive Model,100,4
E02003781,Rural,4.2772277227722775,136.36733931148413,39.82178217821782,1269.6051822009008,Wardriving,100,2
E02003781,Rural,6050.0,213.83173403083802,3339.0,118.01391073206086,Predictive Model,200,4
E02003783,Rural,6064.0,191.04050672653347,4131.0,130.14319480331625,Predictive Model,200,4
E02003783,Rural,56.77075812274368,670.2716627940816,28.0072202166065,330.67104765867447,Wardriving,200,6
E02003783,Rural,6064.0,191.04050672653347,3020.0,95.14220486710606,Predictive Model,300,4
E02003783,Rural,101.57488479262673,650.3831707889509,28.986175115207374,185.59824624916357,Wardriving,300,6
E02003783,Rural,6064.0,191.04050672653347,3298.0,103.90032836149528,Predictive Model,100,4
E02003783,Rural,12.966666666666667,413.4055859729031,36.74166666666667,1171.404388531189,Wardriving,100,4
E02003784,Rural,7401.0,151.1274582204655,4795.0,97.91327687706149,Predictive Model,200,3
E02003784,Rural,7401.0,151.1274582204655,3888.0,79.39245474411159,Predictive Model,100,3
E02003784,Rural,126.51724137931035,1063.4155842028724,26.07758620689655,219.18997970930013,Wardriving,200,7
E02003784,Rural,7401.0,151.1274582204655,3888.0,79.39245474411159,Predictive Model,300,3
E02003784,Rural,186.03571428571428,940.9307066130494,32.625,165.01059713784232,Wardriving,300,7
E02003784,Rural,2.125,67.74963009195932,4.375,139.4845325422692,Wardriving,100,1
